proper_name,designation,ra_deg_j2000,dec_deg_j2000,hip,vmag
,18    Lyn,108.979005,59.637467,35146,5.2
,53    Gem,108.9882,27.897419,35152,5.75
,Del Vol,109.20762,-67.957152,35228,3.97
,Pi  Pup,109.285665,-37.09747,35264,2.71
,64    Aur,109.50923999999999,40.883392,35341,5.87
,54Lam Gem,109.52324999999999,16.540383,35350,3.58
,29    CMa,109.66824,-24.558701,35412,4.88
,30Tau CMa,109.67703,-24.954375,35415,4.37
Wasat,55Del Gem,110.030745,21.98232,35550,3.5
,56    Gem,110.486925,20.443658,35699,5.09
,65    Aur,110.51095500000001,36.760584,35710,5.12
,47    Cam,110.57159999999999,59.901996,35735,6.36
,19    Lyn,110.71185,55.28432,35783,6.86
,19    Lyn,110.716905,55.281392,35785,5.8
,58    Gem,110.86725,22.945349,35842,6.17
,57    Gem,110.86881,25.050531,35846,5.04
Aludra,31Eta CMa,111.02376,-29.303104,35904,2.45
,66    Aur,111.03528,40.672389,35907,5.23
,59    Gem,111.13938,27.637857,35941,5.77
,1    CMi,111.242415,11.669524,35987,5.37
,Eps Men,111.40905000000001,-79.094188,36039,5.54
,2Eps CMi,111.412065,9.276097,36041,4.99
,60Iot Gem,111.43168499999999,27.79808,36046,3.78
,21    Lyn,111.67855499999999,49.211527,36145,4.61
,61    Gem,111.734715,20.257557,36156,5.94
Gomeisa,3Bet CMi,111.78768,8.289315,36188,2.89
Luyten's Star,,111.852075,5.225785,36208,9.84
,63    Gem,111.93486,21.445247,36238,5.2
,5Eta CMi,112.008645,6.941968,36265,5.22
,4Gam CMi,112.040805,8.92553,36284,4.33
,62Rho Gem,112.277925,31.78455,36366,4.16
,Sig Pup,112.307685,-43.301432,36377,3.25
,64    Gem,112.33518,28.118275,36393,5.07
,6    CMi,112.44909,12.006564,36425,4.55
,65    Gem,112.4532,27.916146,36429,5.01
,22    Lyn,112.48300499999999,49.672463,36439,5.35
,7Del1CMi,113.02479,1.914481,36641,5.24
,8Del2CMi,113.298615,3.290379,36723,5.59
,68    Gem,113.40200999999999,15.826662,36760,5.27
,9Del3CMi,113.566215,3.371725,36812,5.83
Castor,66Alp Gem,113.64951,31.888276,36850,1.58
,69Ups Gem,113.98062,26.895741,36962,4.06
,25    Mon,114.319545,-4.110979,37088,5.14
,70    Gem,114.6369,35.04855,37204,5.58
Jishui,71Omi Gem,114.7914,34.584346,37265,4.89
Procyon,10Alp CMi,114.825495,5.224993,37279,0.4
Ceibo,,114.841245,-78.278972,37284,9.37
,74    Gem,114.86913,17.674519,37300,5.04
,23    Lyn,115.206435,57.082865,37406,6.09
,26Alp Mon,115.31181,-9.551131,37447,3.94
,Zet Vol,115.45506,-72.606098,37504,3.93
,24    Lyn,115.75182000000001,58.71036,37609,4.93
,75Sig Gem,115.82800499999999,28.88351,37629,4.23
,1    Pup,115.884945,-28.410885,37648,4.63
,3    Pup,115.95195,-28.954826,37677,3.94
,76    Gem,116.02881000000001,25.784159,37704,5.3
,77Kap Gem,116.111895,24.397993,37740,3.57
,79    Gem,116.288895,20.316045,37811,6.53
Pollux,78Bet Gem,116.329155,28.026199,37826,1.16
,2    Pup,116.369715,-14.686167,37842,7.03
,2    Pup,116.37138,-14.690537,37843,6.06
,4    Pup,116.486955,-14.563805,37891,5.03
,81    Gem,116.53103999999999,18.510043,37908,4.89
,11    CMi,116.567505,10.768252,37921,5.25
,49    Cam,116.614335,62.830522,37934,6.5
,51    Cam,116.666895,65.455676,37949,5.93
,80Pi  Gem,116.87635499999999,33.415697,38016,5.14
Tapecue,,116.95690499999999,-54.264145,38041,8.1
,5    Pup,116.98633500000001,-12.192705,38048,5.48
,Omi Pup,117.02154,-25.937169,38070,4.4
,82    Gem,117.14016000000001,23.14098,38106,6.18
Azmidi,7Xi  Pup,117.32356499999999,-24.859786,38170,3.34
,6    Pup,117.42166499999999,-17.228408,38211,5.17
,8    Pup,117.92037,-12.819405,38372,6.37
,13Zet CMi,117.92494500000001,1.766868,38373,5.12
,9    Pup,117.94292999999999,-13.898029,38382,5.16
,10    Pup,118.078665,-14.846175,38427,5.69
,83Phi Gem,118.37424,26.765783,38538,4.97
,25    Lyn,118.62195,47.385982,38623,6.25
,26    Lyn,118.67796,47.564596,38639,5.47
,85    Gem,118.916235,19.88397,38722,5.38
,Chi Car,119.194695,-52.98236,38827,3.46
,11    Pup,119.21475000000001,-22.880119,38835,4.2
,1    Cnc,119.24772,15.790281,38848,5.8
,14    CMi,119.58606,2.224767,38962,5.3
,12    Pup,119.773815,-23.310396,39023,5.09
,27    Mon,119.93397,-3.679583,39079,4.93
,3    Cnc,120.19711499999998,17.308703,39177,5.6
,2Ome1Cnc,120.23280000000001,25.392836,39191,5.87
,28    Mon,120.30556500000002,-1.392608,39211,4.69
,5    Cnc,120.37620000000001,16.455309,39236,5.99
,53    Cam,120.42697500000001,60.324353,39261,6.02
,4Ome2Cnc,120.43233,25.089465,39263,6.32
,Chi Gem,120.87951,27.794332,39424,4.94
Naos,Zet Pup,120.896055,-40.003148,39429,2.21
,14    Pup,121.17258000000001,-19.728148,39524,6.12
,8    Cnc,121.26870000000001,13.118215,39567,5.14
,9Mu 1Cnc,121.57665,22.63549,39659,5.96
,28    Lyn,121.791435,43.260365,39722,6.35
Tureis,15Rho Pup,121.88605500000001,-24.304324,39757,2.83
,10Mu 2Cnc,121.94106,21.581816,39780,5.3
,Eps Vol,121.982595,-68.617062,39794,4.35
,27    Lyn,122.11444499999999,51.50667,39847,4.78
,29Zet Mon,122.14854,-2.983786,39863,4.36
,12    Cnc,122.17685999999999,13.640917,39874,6.25
,16    Pup,122.25682499999999,-19.245014,39906,4.4
,Gam2Vel,122.38314,-47.336588,39953,1.75
,14Psi Cnc,122.61327,25.507334,40023,5.73
,18    Pup,122.665965,-13.799207,40035,5.53
,19    Pup,122.81794500000001,-12.926999,40084,4.72
Tegmine,16Zet2Cnc,123.053025,17.647771,40167,4.67
,15    Cnc,123.28694999999999,29.656536,40240,5.62
,20    Pup,123.333195,-15.788221,40259,4.99
Tarf,17Bet Cnc,124.12884000000001,9.185545,40526,3.53
,21    Pup,124.346385,-16.285111,40604,6.32
,29    Lyn,124.46007,59.571133,40646,5.63
Násti,,124.59204000000001,61.460722,40687,8.2
,Alp Cha,124.630545,-76.919722,40702,4.05
,Kap1Vol,124.95410999999999,-71.514906,40817,5.33
,Kap2Vol,125.00229000000002,-71.505377,40834,5.63
,18Chi Cnc,125.01608999999999,27.217707,40843,5.13
,30    Lyn,125.10846000000001,57.743278,40875,5.89
Piautos,19Lam Cnc,125.1339,24.022314,40881,5.92
,The Cha,125.161725,-77.484477,40888,4.34
,Eta Vol,125.51876999999999,-73.399985,41003,5.28
Avior,Eps Car,125.62853999999999,-59.509483,41037,1.86
,22    Pup,125.6952,-13.054793,41067,6.13
Alsciaukat,31    Lyn,125.70881999999999,43.188131,41075,4.25
,20    Cnc,125.84100000000001,18.3322,41117,5.94
,21    Cnc,125.98004999999999,10.632063,41163,6.11
,1    Hya,126.14588999999998,-3.75124,41211,5.61
,Bet Vol,126.434265,-66.13689,41312,3.77
,25    Cnc,126.45784500000002,17.046267,41319,6.11
,2    Hya,126.61336500000002,-3.987479,41375,5.6
,22Phi1Cnc,126.61545,27.893583,41377,5.58
,24    Cnc,126.665805,24.534166,41389,6.51
,27    Cnc,126.683085,12.654612,41400,5.56
,23Phi2Cnc,126.69612,26.935489,41404,6.3
,28    Cnc,127.15326,24.144934,41574,6.05
,29    Cnc,127.15558499999999,14.210822,41578,5.94
Muscida,1Omi UMa,127.56646500000001,60.718169,41704,3.35
,30Ups1Cnc,127.87717500000001,24.081105,41816,5.71
,31The Cnc,127.89888000000002,18.09442,41822,5.33
,34    Cnc,128.166135,10.066008,41904,6.48
,33Eta Cnc,128.177085,20.441162,41909,5.33
,32Ups2Cnc,128.25045,24.08479,41940,6.35
,32    Lyn,128.34063,36.436429,41975,6.2
,2    UMa,128.650665,65.14517,42080,5.47
,33    Lyn,128.68287,36.419619,42090,5.76
,35    Cnc,128.831025,19.590063,42133,6.55
,3    Hya,128.86749,-7.982292,42146,5.72
,36    Cnc,129.27405000000002,9.65558,42265,5.92
,4Del Hya,129.41403,5.703782,42313,4.14
,Eta Pyx,129.46731,-26.255,42334,5.24
,37    Cnc,129.52155,9.57461,42353,6.54
Minchir,5Sig Hya,129.689325,3.341435,42402,4.45
,The Vol,129.77141999999998,-70.386745,42425,5.19
,3Pi 1UMa,129.798855,65.020907,42438,5.63
Gakyid,,129.81584999999998,12.960375,42446,8.23
,Zet Pyx,129.926985,-29.561084,42483,4.86
,6    Hya,130.00614,-12.475372,42509,4.98
,Bet Pyx,130.025595,-35.308352,42515,3.97
,39    Cnc,130.02675,20.007788,42516,6.39
,4Pi 2UMa,130.0536,64.327936,42527,4.59
Meleph,41Eps Cnc,130.11255,19.544808,42556,6.29
,34    Lyn,130.254435,45.83401,42604,5.35
,Eta Cha,130.331595,-78.963359,42637,5.46
,9    Hya,130.430565,-15.943384,42662,4.87
,45    Cnc,130.801365,12.680876,42795,5.62
,7Eta Hya,130.80615,3.398662,42799,4.3
Asellus Borealis,43Gam Cnc,130.82146500000002,21.468501,42806,4.66
,Alp Pyx,130.898085,-33.186385,42828,3.68
Asellus Australis,47Del Cnc,131.17125,18.154309,42911,3.94
Alsephina,Del Vel,131.175885,-54.708821,42913,1.93
,49    Cnc,131.18766,10.08167,42917,5.63
,10    Hya,131.25534,5.680588,42931,6.13
,46    Cnc,131.33926499999998,30.697752,42954,6.12
,12    Hya,131.59390499999998,-13.54772,43067,4.32
,48Iot Cnc,131.666595,28.765059,43100,6.58
,48Iot Cnc,131.67426,28.759898,43103,4.03
Ashlesha,11Eps Hya,131.693805,6.418809,43109,3.38
,50    Cnc,131.733405,12.109952,43121,5.89
,13Rho Hya,132.10821,5.837812,43234,4.35
,14    Hya,132.34053,-3.443023,43305,5.3
,Gam Pyx,132.63306,-27.709844,43409,4.02
,54    Cnc,132.75610500000002,15.350651,43454,6.36
,15    Hya,132.89338500000002,-7.177226,43496,5.55
,35    Lyn,132.98680499999998,43.726603,43531,5.15
,53    Cnc,133.11912,28.259159,43575,6.25
,51Sig1Cnc,133.14426,32.474157,43584,5.67
Copernicus,55Rho1Cnc,133.14937500000002,28.330819,43587,5.96
,5    UMa,133.344015,61.962268,43644,5.72
Stribor,,133.461735,33.056812,43674,8.03
,57    Cnc,133.561365,30.579115,43721,5.4
,16Zet Hya,133.84845,5.945563,43813,3.11
,17    Hya,133.873365,-7.971153,43822,6.07
,Del Pyx,133.88151,-27.681871,43825,4.87
,58Rho2Cnc,133.91533500000003,27.927481,43834,5.23
,60    Cnc,133.981455,11.626023,43851,5.44
,6    UMa,134.156115,64.603831,43903,5.57
,Zet Oct,134.17423499999998,-85.663152,43908,5.43
,59Sig2Cnc,134.23584,32.91043,43932,5.44
,62Omi1Cnc,134.31228000000002,15.322762,43970,5.22
,63Omi2Cnc,134.396655,15.581281,44001,5.68
,61    Cnc,134.494425,30.233826,44031,6.25
Acubens,65Alp Cnc,134.62176,11.857701,44066,4.26
Talitha,9Iot UMa,134.80241999999998,48.041826,44127,3.12
,64Sig3Cnc,134.886075,32.418559,44154,5.23
Ross 687,,135.209715,5.241545,44263,12.37
,66    Cnc,135.350535,32.252296,44307,5.89
,67    Cnc,135.45351,27.902593,44342,6.07
,Alp Vol,135.611655,-66.396076,44382,4.0
,8Rho UMa,135.6363,67.629619,44390,4.74
,69Nu  Cnc,135.684435,24.452915,44405,5.45
Alkaphrah,12Kap UMa,135.906405,47.156525,44471,3.57
,70    Cnc,136.04111999999998,27.898304,44512,6.67
,18Ome Hya,136.49319,5.092316,44659,4.99
,76Kap Cnc,136.936725,10.668191,44798,5.23
Suhail,Lam Vel,136.99902,-43.432589,44816,2.23
,72Tau Cnc,137.00021999999998,29.654235,44818,5.42
,Kap Pyx,137.011995,-25.858536,44824,4.62
,11Sig1UMa,137.098005,66.873235,44857,5.15
,19    Hya,137.17575,-8.589524,44883,5.6
,75    Cnc,137.197245,26.629112,44892,5.95
,15    UMa,137.217945,51.604648,44901,4.46
Nahn,77Xi  Cnc,137.33973,22.045446,44946,5.16
,20    Hya,137.3982,-8.787648,44961,5.47
,Eps Pyx,137.48505,-30.365401,45001,5.59
,79    Cnc,137.586915,21.996415,45033,6.04
,13Sig2UMa,137.59806,67.134018,45038,4.8
,14Tau UMa,137.729115,63.513633,45075,4.67
,81Pi 1Cnc,138.07317,14.996037,45170,6.49
,21    Hya,138.10851,-7.109827,45184,6.1
Miaplacidus,Bet Car,138.300615,-69.717208,45238,1.67
,36    Lyn,138.450885,43.217825,45290,5.3
,16    UMa,138.58561500000002,61.423318,45333,5.18
,22The Hya,138.591075,2.31428,45336,3.89
,82Pi 2Cnc,138.80772,14.941507,45410,5.36
,17    UMa,138.95748,56.741406,45455,5.28
,18    UMa,139.04711999999998,54.021857,45493,4.8
,24    Hya,139.17237,-8.744759,45526,5.49
,23    Hya,139.1739,-6.353144,45527,5.24
Aspidiske,Iot Car,139.27257,-59.275229,45556,2.21
,38    Lyn,139.711035,36.802597,45688,3.82
,26    Hya,139.943265,-11.974853,45751,4.77
,27    Hya,140.12090999999998,-9.555695,45811,4.8
,40Alp Lyn,140.263875,34.392562,45860,3.14
,The Pyx,140.3733,-25.965439,45902,4.71
Markeb,Kap Vel,140.52843000000001,-55.010668,45941,2.47
,Lam Pyx,140.801085,-28.833873,46026,4.71
,Iot Cha,141.0402,-80.786876,46107,5.34
,1Kap Leo,141.16359,26.182324,46146,4.47
,28    Hya,141.350145,-5.117394,46221,5.6
,29    Hya,141.811005,-9.223712,46365,6.53
Alphard,30Alp Hya,141.89685,-8.658603,46390,1.99
,2Ome Leo,142.11417,9.056778,46454,5.4
,3    Leo,142.121565,8.188298,46457,5.72
Intercrus,,142.16662499999998,45.601483,46471,5.4
,31Tau1Hya,142.287075,-2.768964,46509,4.59
,Eps Ant,142.311345,-35.951335,46515,4.51
,Psi Vel,142.67511,-40.466769,46651,3.6
,7    LMi,142.68009,33.655711,46652,5.87
,Zet1Ant,142.69206,-31.889222,46657,5.75
,23    UMa,142.881795,63.061861,46733,3.65
,Zet2Ant,142.884015,-31.871831,46734,5.91
,8    LMi,142.88506500000003,35.103273,46735,5.39
Alterf,4Lam Leo,142.930125,22.967971,46750,4.32
,5Xi  Leo,142.98641999999998,11.299827,46771,4.99
,6    Leo,142.9899,9.715767,46774,5.07
,32Tau2Hya,142.99553999999998,-1.184664,46776,4.54
,25The UMa,143.215725,51.6773,46853,3.17
,9    LMi,143.376495,36.486949,46904,6.19
,Zet Cha,143.472855,-80.941258,46928,5.07
,10    LMi,143.55576000000002,36.397558,46952,4.54
,24    UMa,143.620545,69.830343,46977,4.54
,33    Hya,143.63603999999998,-5.914948,46982,5.56
,26    UMa,143.706075,52.051477,47006,4.47
,22    UMa,143.72262,72.205679,47013,5.77
,11    LMi,143.91501,35.810133,47080,5.4
Illyrian,,143.93825999999999,34.780742,47087,7.62
,7    Leo,143.97036,14.379588,47096,6.32
,8    Leo,144.26076,16.437952,47189,5.73
Kalausi,,144.299265,-43.272205,47202,8.23
,10    Leo,144.302775,6.835802,47205,5.0
,34    Hya,144.46461,-9.424446,47249,6.4
,42    Lyn,144.590745,40.239793,47300,5.28
,37    Hya,144.94754999999998,-10.570271,47427,6.31
Ukdah,35Iot Hya,144.96400500000001,-1.14281,47431,3.9
,38Kap Hya,145.07652000000002,-14.332292,47452,5.07
Subra,14Omi Leo,145.287645,9.892308,47508,3.52
,13    Leo,145.41036,25.912876,47550,6.26
,43    Lyn,145.50147,39.757851,47570,5.61
,13    LMi,145.678095,35.093371,47631,6.12
,27    UMa,145.738425,72.252618,47654,5.15
,15    Leo,145.88859,29.974473,47701,5.64
,16Psi Leo,145.93293,14.021692,47723,5.36
,The Ant,146.05041,-27.769471,47758,4.78
Añañuca,,146.124795,-45.776513,47780,10.22
Ras Elased Australis,17Eps Leo,146.46282000000002,23.774255,47908,2.97
,28    UMa,146.48073000000002,63.653313,47911,6.51
,Nu  Cha,146.58527999999998,-76.77612,47956,5.43
,18    Leo,146.597205,11.810043,47959,5.67
,Ups Car,146.77554,-65.072007,48002,2.92
,19    Leo,146.85819,11.568165,48029,6.44
,20    Leo,147.45873,21.179422,48218,6.1
Natasha,,147.510375,-49.790266,48235,8.54
,4    Sex,147.625335,4.34365,48273,6.24
,29Ups UMa,147.748005,59.038735,48319,3.78
,23    Leo,147.758265,13.066239,48324,6.45
,6    Sex,147.80847,-4.24335,48341,6.01
Zhang,39Ups1Hya,147.86955,-14.846603,48356,4.11
,22    Leo,147.97098,24.395369,48390,5.29
,30Phi UMa,148.02649499999998,54.064332,48402,4.55
,7    Sex,148.05067499999998,2.454131,48414,6.02
,8Gam Sex,148.126815,-8.10503,48437,5.07
Rasalas,24Mu  Leo,148.19097,26.006951,48455,3.88
Felis,,148.717545,-19.00936,48615,4.94
,31    UMa,148.92918,49.819843,48682,5.27
Bibhā,,149.024655,-3.808422,48711,8.73
,Phi Vel,149.21562,-54.56779,48774,3.52
,19    LMi,149.42115,41.055633,48833,5.11
,27Nu  Leo,149.55573,12.4448,48883,5.26
,Eta Ant,149.71786500000002,-35.890973,48926,5.23
,12    Sex,149.92951499999998,3.384792,48990,6.69
,29Pi  Leo,150.053355,8.044223,49029,4.68
,Mu 1Cha,150.182865,-82.21467,49065,5.53
,20    LMi,150.25296,31.923672,49081,5.37
,Mu 2Cha,151.03059000000002,-81.565492,49326,6.6
,13    Sex,151.035135,3.201055,49329,6.43
,40Ups2Hya,151.28112,-13.064626,49402,4.6
,14    Sex,151.69761,5.611493,49530,6.2
,30Eta Leo,151.833135,16.762664,49583,3.48
,21    LMi,151.857315,35.244693,49593,4.49
,31    Leo,151.97612999999998,9.997508,49637,4.39
,15Alp Sex,151.98450000000003,-0.371637,49641,4.48
Regulus,32Alp Leo,152.09298,11.967207,49669,1.36
,17    Sex,152.531415,-8.40817,49812,5.91
,41Lam Hya,152.647005,-12.354083,49841,3.61
,18    Sex,152.73275999999998,-8.418462,49865,5.64
,34    Leo,152.909205,13.355114,49929,6.43
,19    Sex,153.201525,4.61468,50027,5.77
,Ome Car,153.434415,-70.037903,50099,3.29
,22    LMi,153.77643,31.468066,50218,6.47
,23    LMi,154.06015499999998,29.310501,50303,5.49
,24    LMi,154.117035,28.682479,50316,6.46
,35    Leo,154.134585,23.503095,50319,5.95
,37    Leo,154.169745,13.728334,50333,5.42
Adhafera,36Zet Leo,154.17256500000002,23.417311,50335,3.43
Tania Borealis,33Lam UMa,154.27428,42.914365,50372,3.45
,39    Leo,154.31067000000002,23.10622,50384,5.81
,22Eps Sex,154.40751,-8.068914,50414,5.25
,32    UMa,154.508745,65.108351,50448,5.74
,40    Leo,154.93407000000002,19.470914,50564,4.78
Algieba,41Gam1Leo,154.99309499999998,19.841489,50583,2.01
,23    Sex,155.258355,2.289724,50684,6.66
,42    Leo,155.459595,14.975773,50755,6.16
Tania Australis,34Mu  UMa,155.582325,41.499516,50801,3.06
,43    Leo,155.75187,6.542643,50851,6.06
,27    LMi,155.776365,33.908145,50860,5.89
,25    Sex,155.86032,-4.074035,50885,5.93
,28    LMi,156.03585,33.718531,50935,5.52
,44    Leo,156.313305,8.784845,51008,5.61
,30    LMi,156.47842500000002,33.79612,51056,4.72
,42Mu  Hya,156.52263,-16.83629,51069,3.83
,Alp Ant,156.78795,-31.067779,51172,4.28
,45    Leo,156.912465,9.762396,51213,6.01
,31Bet LMi,156.970905,36.707212,51233,4.2
,29Del Sex,157.36959,-2.739078,51362,5.19
,Del Ant,157.39741500000002,-30.607065,51376,5.57
,35    UMa,157.47679499999998,65.626233,51401,6.32
,32    LMi,157.52688,38.925132,51420,5.79
,30Bet Sex,157.572825,-0.637026,51437,5.08
,36    UMa,157.656915,55.980536,51459,4.82
,33    LMi,157.964055,32.379554,51556,5.9
,46    Leo,158.04906,14.13727,51585,5.43
,47Rho Leo,158.202795,9.306586,51624,3.84
,34    LMi,158.378805,34.988695,51685,5.57
,44    Hya,158.50368,-23.745165,51718,5.08
,48    Leo,158.70006,6.953749,51775,5.07
,49    Leo,158.758995,8.650425,51802,5.67
,37    UMa,158.790255,57.082637,51814,5.16
,Gam Cha,158.86749,-78.607786,51839,4.11
,Phi2Hya,159.06942,-16.344326,51905,6.01
,35    LMi,159.089235,36.326927,51914,6.29
,Phi3Hya,159.645645,-16.876572,52085,4.91
,37    LMi,159.68005499999998,31.976237,52098,4.68
,38    LMi,159.78195,37.91,52139,5.84
,33    Sex,160.35078,-1.741491,52316,6.25
,38    UMa,160.4862,65.71628,52353,5.12
,The Car,160.739235,-64.39445,52419,2.74
,40    LMi,160.75786499999998,26.325577,52422,5.51
,35    Sex,160.83717000000001,4.747669,52452,5.77
,41    LMi,160.85399999999998,23.188404,52457,5.08
,39    UMa,160.93053,57.199203,52478,5.79
Macondo,,161.08719,-33.577022,52521,8.3
,36    Sex,161.28940500000002,2.48797,52584,6.27
,Del1Cha,161.31819,-80.469597,52595,5.46
,Del2Cha,161.446305,-80.540188,52633,4.45
,42    LMi,161.46624,30.682313,52638,5.36
,41    UMa,161.593785,57.365914,52685,6.34
,51    Leo,161.60226,18.891523,52686,5.5
,52    Leo,161.605335,14.194645,52689,5.49
,Mu  Vel,161.69232,-49.420255,52727,2.69
,43    LMi,162.238485,29.416057,52882,6.15
,53    Leo,162.314295,10.545202,52911,5.32
,40    Sex,162.321975,-4.02393,52913,6.61
,Nu  Hya,162.406185,-16.193648,52943,3.11
,44    LMi,162.473865,27.973948,52959,6.05
,41    Sex,162.575235,-8.897763,52980,5.8
,43    UMa,162.79600499999998,56.58225,53043,5.66
,42    UMa,162.84891,59.320119,53064,5.57
Praecipua,46    LMi,163.32789,34.214871,53229,3.79
,44    UMa,163.393665,54.585128,53261,5.12
,45Ome UMa,163.49471999999997,43.189956,53295,4.66
,48    LMi,163.67571,25.490722,53355,6.19
,54    Leo,163.90335,24.749718,53417,4.3
,55    Leo,163.92666,0.736922,53423,5.91
,46    UMa,163.93498499999998,33.506929,53426,5.02
,56    Leo,164.00613,6.185371,53449,5.91
,50    LMi,164.14345500000002,25.500244,53492,6.36
,Iot Ant,164.179335,-37.137765,53502,4.6
Aiolos,,164.262765,-68.667347,53524,7.36
,Eta Oct,164.80887,-84.593893,53702,6.19
Chalawan,47    UMa,164.8668,40.430257,53721,5.03
Alkes,7Alp Crt,164.94366000000002,-18.298783,53740,4.08
,58    Leo,165.140205,3.617494,53807,4.84
,59    Leo,165.18667499999998,6.101449,53824,4.98
,49    UMa,165.210135,39.212092,53838,5.06
,61    Leo,165.456975,-2.484585,53907,4.73
Merak,48Bet UMa,165.46015500000001,56.382427,53910,2.34
,60    Leo,165.582405,20.179842,53954,4.42
Lalande 21185,,165.83447999999999,35.969877,54035,7.49
,62    Leo,165.90246000000002,-0.000833,54049,5.95
Dubhe,50Alp UMa,165.93232500000002,61.751033,54061,1.81
,51    UMa,166.13016,38.241365,54136,6.01
Dingolay,,166.185225,-2.513218,54158,8.21
,63Chi Leo,166.254285,7.336007,54182,4.62
,Chi1Hya,166.333005,-27.293612,54204,4.92
,Chi2Hya,166.48986,-27.287853,54255,5.69
,65    Leo,166.72587,1.955525,54336,5.52
,64    Leo,166.91544,23.323762,54388,6.48
,67    Leo,167.204535,24.658464,54487,5.7
,52Psi UMa,167.41593,44.498487,54539,3.0
,11Bet Crt,167.91453,-22.825847,54682,4.46
,Psi Crt,168.126555,-18.499862,54742,6.11
,69    Leo,168.4398,-0.069502,54849,5.4
Zosma,68Del Leo,168.52706999999998,20.523717,54872,2.56
Chertan,70The Leo,168.560025,15.42957,54879,3.33
,72    Leo,168.800955,23.095502,54951,4.56
,73    Leo,168.966255,13.307578,55016,5.31
,74Phi Leo,169.165425,-3.651601,55084,4.45
,75    Leo,169.322505,2.010556,55137,5.18
Hunahpú,,169.44816,-23.975414,55174,8.05
Alula Borealis,54Nu  UMa,169.619745,33.094306,55219,3.49
,76    Leo,169.72898999999998,1.650395,55249,5.9
,55    UMa,169.78296,38.185557,55266,4.76
,12Del Crt,169.835205,-14.778541,55282,3.56
,Pi  Cen,170.25175499999997,-54.491019,55425,3.9
,77Sig Leo,170.28414,6.029322,55434,4.05
,56    UMa,170.70663000000002,43.482703,55560,4.99
,13Lam Crt,170.841225,-18.779973,55598,5.08
,78Iot Leo,170.98104,10.529509,55642,4.0
,79    Leo,171.00969,1.407765,55650,5.39
Shama,,171.07233,-1.529076,55664,9.1
,14Eps Crt,171.15246,-10.859323,55687,4.81
,15Gam Crt,171.22053,-17.68401,55705,4.06
,81    Leo,171.401565,16.456539,55765,5.58
,80    Leo,171.45856500000002,3.86011,55791,6.35
,83    Leo,171.68884500000001,3.013102,55846,6.49
,16Kap Crt,171.78966,-12.356749,55874,5.93
,84Tau Leo,171.98433,2.856265,55945,4.95
,57    UMa,172.26721500000002,39.336974,56034,5.3
,85    Leo,172.424355,15.413269,56080,5.74
,87    Leo,172.57872,-3.003501,56127,4.77
,86    Leo,172.62097500000002,18.409801,56146,5.54
,58    UMa,172.62976500000002,43.173242,56148,5.94
Giausar,1Lam Dra,172.85110500000002,69.331076,56211,3.82
,88    Leo,172.937295,14.364505,56242,6.27
,Omi1Cen,172.94196000000002,-59.442061,56243,5.07
,Omi2Cen,172.95334499999998,-59.515648,56250,5.12
,Xi  Hya,173.25057,-31.857625,56343,3.54
,89    Leo,173.59145999999998,3.060165,56445,5.76
,90    Leo,173.67704999999998,16.796915,56473,5.95
Formosa,,173.765655,20.441545,56508,6.45
,Lam Cen,173.945445,-63.019841,56561,3.11
Sagarmatha,,173.964675,-4.755697,56572,8.42
,2    Dra,174.01116000000002,69.322952,56583,5.19
,21The Crt,174.17047499999998,-9.802247,56633,4.7
,91Ups Leo,174.23721,-0.823749,56647,4.3
,Pi  Cha,174.31611,-75.896544,56675,5.64
,59    UMa,174.58584,43.625429,56770,5.56
,1Ome Vir,174.61503,8.134298,56779,5.24
,60    UMa,174.639675,46.834209,56789,6.09
,24Iot Crt,174.666735,-13.201943,56802,5.48
,Omi Hya,175.053315,-34.74466,56922,4.7
,92    Leo,175.19612999999998,21.35273,56975,5.26
,61    UMa,175.262565,34.201635,56997,5.31
,62    UMa,175.3929,31.746058,57029,5.73
Noquisi,,175.54595999999998,26.70657,57087,10.67
,3    Dra,175.618335,66.744906,57111,5.32
,27Zet Crt,176.190735,-18.350674,57283,4.71
Uklun,,176.2104,-58.703709,57291,7.47
,2Xi  Vir,176.320995,8.258119,57328,4.84
,Lam Mus,176.402115,-66.728763,57363,3.63
Flegetonte,,176.42622,2.821483,57370,8.07
,3Nu  Vir,176.46483,6.529376,57380,4.04
Taiyangshou,63Chi UMa,176.512725,47.779406,57399,3.69
Ross 128,,176.93499,0.804563,57548,11.12
,4    Vir,176.97876,8.245895,57562,5.31
,93    Leo,176.99643,20.218931,57565,4.5
,Mu  Mus,177.06044999999997,-66.81491,57581,4.75
Denebola,94Bet Leo,177.26494499999998,14.57206,57632,2.14
Zavijava,5Bet Vir,177.67383,1.764718,57757,3.59
Aniara,,177.843825,57.640736,57820,7.86
,Bet Hya,178.227195,-33.908124,57936,4.29
Groombridge 1830,,178.2423,37.718679,57939,6.42
Phecda,64Gam UMa,178.45752000000002,53.69476,58001,2.41
,6    Vir,178.76305499999998,8.443943,58110,5.58
,65    UMa,178.773945,46.476846,58112,6.54
,65    UMa,178.797195,46.469782,58117,7.03
,95    Leo,178.91888999999998,15.646818,58159,5.53
,66    UMa,178.99338,56.59856,58181,5.83
,30Eta Crt,179.003985,-17.150829,58188,5.17
,Eps Cha,179.90694,-78.221839,58484,4.88
,7    Vir,179.98713,3.655197,58510,5.36
